,dataElement,period,orgUnit,categoryOptionCombo,attributeOptionCombo,value,storedBy,created,lastUpdated,comment,followup
24,Vitamin A given to < 5y,202201,Bandajuma Clinic CHC,"Fixed, >1y",default,27,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
25,Weight for age below lower line (red),202201,Bandajuma Clinic CHC,"Fixed, <1y",default,15,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
26,Weight for age below lower line (red),202201,Bandajuma Clinic CHC,"Fixed, >1y",default,8,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
27,Weight for age between middle and lower line (yellow),202201,Bandajuma Clinic CHC,"Fixed, <1y",default,36,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
28,Weight for age between middle and lower line (yellow),202201,Bandajuma Clinic CHC,"Fixed, >1y",default,25,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
29,Weight for age on or above middle line (green),202201,Bandajuma Clinic CHC,"Fixed, <1y",default,236,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
30,Weight for age on or above middle line (green),202201,Bandajuma Clinic CHC,"Fixed, >1y",default,240,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
31,Weight for height 70-79 percent,202201,Bandajuma Clinic CHC,"Fixed, <1y",default,150,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
32,Weight for height 70-79 percent,202201,Bandajuma Clinic CHC,"Fixed, >1y",default,252,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
33,Weight for height 80 percent and above,202201,Bandajuma Clinic CHC,"Fixed, <1y",default,225,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
34,Weight for height 80 percent and above,202201,Bandajuma Clinic CHC,"Fixed, >1y",default,438,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
35,BCG doses given,202201,Babara CHC,"Fixed, <1y",default,11,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
36,BCG doses given,202201,Babara CHC,"Outreach, <1y",default,13,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
37,Fully Immunized child,202201,Babara CHC,"Fixed, <1y",default,17,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
38,Fully Immunized child,202201,Babara CHC,"Outreach, <1y",default,9,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
39,LLITN given at Penta3,202201,Babara CHC,"Fixed, <1y",default,10,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
40,LLITN given at Penta3,202201,Babara CHC,"Outreach, <1y",default,9,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
41,OPV0 doses given,202201,Babara CHC,"Fixed, <1y",default,8,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
42,OPV0 doses given,202201,Babara CHC,"Outreach, <1y",default,11,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
43,OPV1 doses given,202201,Babara CHC,"Fixed, <1y",default,9,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
44,OPV1 doses given,202201,Babara CHC,"Outreach, <1y",default,10,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
45,OPV1 doses given,202201,Babara CHC,"Outreach, >1y",default,1,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
46,OPV2 doses given,202201,Babara CHC,"Fixed, <1y",default,11,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
47,OPV2 doses given,202201,Babara CHC,"Fixed, >1y",default,1,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
48,OPV2 doses given,202201,Babara CHC,"Outreach, <1y",default,9,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
49,OPV2 doses given,202201,Babara CHC,"Outreach, >1y",default,1,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
50,OPV3 doses given,202201,Babara CHC,"Fixed, <1y",default,10,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
51,OPV3 doses given,202201,Babara CHC,"Outreach, <1y",default,9,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
52,OPV3 doses given,202201,Babara CHC,"Outreach, >1y",default,1,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
53,Penta1 doses given,202201,Babara CHC,"Fixed, <1y",default,9,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
54,Penta1 doses given,202201,Babara CHC,"Outreach, <1y",default,10,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
55,Penta1 doses given,202201,Babara CHC,"Outreach, >1y",default,1,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
56,Penta2 doses given,202201,Babara CHC,"Fixed, <1y",default,11,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
57,Penta2 doses given,202201,Babara CHC,"Fixed, >1y",default,1,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
58,Penta2 doses given,202201,Babara CHC,"Outreach, <1y",default,9,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
59,Penta2 doses given,202201,Babara CHC,"Outreach, >1y",default,1,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
60,Penta3 doses given,202201,Babara CHC,"Fixed, <1y",default,10,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
61,Penta3 doses given,202201,Babara CHC,"Outreach, <1y",default,9,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
62,Penta3 doses given,202201,Babara CHC,"Outreach, >1y",default,1,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
63,Yellow Fever doses given,202201,Babara CHC,"Fixed, <1y",default,16,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
64,Yellow Fever doses given,202201,Babara CHC,"Fixed, >1y",default,2,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
65,Yellow Fever doses given,202201,Babara CHC,"Outreach, <1y",default,4,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
66,Yellow Fever doses given,202201,Babara CHC,"Outreach, >1y",default,5,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
67,Measles doses given,202201,Babara CHC,"Fixed, <1y",default,26,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
68,Measles doses given,202201,Babara CHC,"Fixed, >1y",default,2,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
69,Measles doses given,202201,Babara CHC,"Outreach, <1y",default,4,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
70,Measles doses given,202201,Babara CHC,"Outreach, >1y",default,5,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
71,Mebendazole/Albendazole (for children 12-59 months),202201,Babara CHC,"Fixed, >1y",default,9,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
72,Mebendazole/Albendazole (for children 12-59 months),202201,Babara CHC,"Outreach, >1y",default,12,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
73,Newborn protected at birth against tetanus (TT2+),202201,Babara CHC,"Fixed, <1y",default,11,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
74,Newborn protected at birth against tetanus (TT2+),202201,Babara CHC,"Outreach, <1y",default,13,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
75,Q_Early breastfeeding (within 1 hr after delivery) at BCG,202201,Babara CHC,"Fixed, <1y",default,8,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
76,Q_Early breastfeeding (within 1 hr after delivery) at BCG,202201,Babara CHC,"Outreach, <1y",default,11,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
77,Q_Exclusive breastfeeding at time of Penta 3,202201,Babara CHC,"Fixed, <1y",default,4,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
78,Q_Exclusive breastfeeding at time of Penta 3,202201,Babara CHC,"Outreach, <1y",default,2,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
79,Q_Slept under LLIN last night Measles,202201,Babara CHC,"Fixed, <1y",default,18,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
80,Q_Slept under LLIN last night Measles,202201,Babara CHC,"Fixed, >1y",default,2,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
81,Q_Slept under LLIN last night Measles,202201,Babara CHC,"Outreach, <1y",default,3,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
82,Q_Slept under LLIN last night Measles,202201,Babara CHC,"Outreach, >1y",default,3,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
83,Q_Vitamin A received 4-6 months ago at 12-59 dose,202201,Babara CHC,"Fixed, >1y",default,6,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
84,Q_Vitamin A received 4-6 months ago at 12-59 dose,202201,Babara CHC,"Outreach, >1y",default,8,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
85,Vitamin A given to < 5y,202201,Babara CHC,"Fixed, <1y",default,11,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
86,Vitamin A given to < 5y,202201,Babara CHC,"Fixed, >1y",default,9,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
87,Vitamin A given to < 5y,202201,Babara CHC,"Outreach, <1y",default,9,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
88,Vitamin A given to < 5y,202201,Babara CHC,"Outreach, >1y",default,12,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
89,Weight for age below lower line (red),202201,Babara CHC,"Fixed, <1y",default,5,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
90,Weight for age below lower line (red),202201,Babara CHC,"Fixed, >1y",default,2,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
91,Weight for age below lower line (red),202201,Babara CHC,"Outreach, <1y",default,7,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
92,Weight for age between middle and lower line (yellow),202201,Babara CHC,"Fixed, <1y",default,11,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
93,Weight for age between middle and lower line (yellow),202201,Babara CHC,"Fixed, >1y",default,1,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
94,Weight for age between middle and lower line (yellow),202201,Babara CHC,"Outreach, <1y",default,10,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
95,Weight for age on or above middle line (green),202201,Babara CHC,"Fixed, <1y",default,18,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
96,Weight for age on or above middle line (green),202201,Babara CHC,"Fixed, >1y",default,2,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
97,Weight for age on or above middle line (green),202201,Babara CHC,"Outreach, <1y",default,13,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
98,Weight for height 70-79 percent,202201,Babara CHC,"Fixed, <1y",default,12,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
99,Weight for height 70-79 percent,202201,Babara CHC,"Fixed, >1y",default,3,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
100,Weight for height 70-79 percent,202201,Babara CHC,"Outreach, <1y",default,9,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
101,Weight for height 80 percent and above,202201,Babara CHC,"Fixed, <1y",default,17,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
102,Weight for height 80 percent and above,202201,Babara CHC,"Fixed, >1y",default,3,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
103,Weight for height 80 percent and above,202201,Babara CHC,"Outreach, <1y",default,10,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
104,Weight for height below 70 percent,202201,Babara CHC,"Fixed, <1y",default,3,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
105,Weight for height below 70 percent,202201,Babara CHC,"Fixed, >1y",default,2,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
106,Weight for height below 70 percent,202201,Babara CHC,"Outreach, <1y",default,2,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
107,Weight for height below 70 percent,202201,Babara CHC,"Outreach, >1y",default,1,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
108,BCG doses given,202201,Bauya (Kongbora) CHC,"Fixed, <1y",default,14,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
109,Fully Immunized child,202201,Bauya (Kongbora) CHC,"Fixed, <1y",default,9,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
110,OPV0 doses given,202201,Bauya (Kongbora) CHC,"Fixed, <1y",default,6,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
111,OPV0 doses given,202201,Bauya (Kongbora) CHC,"Outreach, <1y",default,2,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
112,OPV1 doses given,202201,Bauya (Kongbora) CHC,"Fixed, <1y",default,7,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
113,OPV1 doses given,202201,Bauya (Kongbora) CHC,"Outreach, <1y",default,5,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
114,OPV2 doses given,202201,Bauya (Kongbora) CHC,"Fixed, <1y",default,6,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
115,OPV2 doses given,202201,Bauya (Kongbora) CHC,"Outreach, <1y",default,4,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
116,OPV3 doses given,202201,Bauya (Kongbora) CHC,"Fixed, <1y",default,4,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
117,OPV3 doses given,202201,Bauya (Kongbora) CHC,"Outreach, <1y",default,3,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
118,Penta1 doses given,202201,Bauya (Kongbora) CHC,"Fixed, <1y",default,7,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
119,Penta1 doses given,202201,Bauya (Kongbora) CHC,"Outreach, <1y",default,5,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
120,Penta2 doses given,202201,Bauya (Kongbora) CHC,"Fixed, <1y",default,6,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
121,Penta2 doses given,202201,Bauya (Kongbora) CHC,"Outreach, <1y",default,4,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
122,Penta3 doses given,202201,Bauya (Kongbora) CHC,"Fixed, <1y",default,4,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
123,Penta3 doses given,202201,Bauya (Kongbora) CHC,"Outreach, <1y",default,3,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
124,Yellow Fever doses given,202201,Bauya (Kongbora) CHC,"Fixed, <1y",default,9,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
125,Measles doses given,202201,Bauya (Kongbora) CHC,"Fixed, <1y",default,9,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
126,Children supplied with food supplemements,202201,Bauya (Kongbora) CHC,"Fixed, <1y",default,20,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
127,Children supplied with food supplemements,202201,Bauya (Kongbora) CHC,"Fixed, >1y",default,13,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
128,Children supplied with food supplemements,202201,Bauya (Kongbora) CHC,"Outreach, <1y",default,19,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
129,Children supplied with food supplemements,202201,Bauya (Kongbora) CHC,"Outreach, >1y",default,13,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
130,Mebendazole/Albendazole (for children 12-59 months),202201,Bauya (Kongbora) CHC,"Fixed, >1y",default,5,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
131,Mebendazole/Albendazole (for children 12-59 months),202201,Bauya (Kongbora) CHC,"Outreach, >1y",default,5,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
132,Newborn protected at birth against tetanus (TT2+),202201,Bauya (Kongbora) CHC,"Fixed, <1y",default,14,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
133,Q_Early breastfeeding (within 1 hr after delivery) at BCG,202201,Bauya (Kongbora) CHC,"Fixed, <1y",default,14,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
134,Q_Exclusive breastfeeding at time of Penta 3,202201,Bauya (Kongbora) CHC,"Fixed, <1y",default,4,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
135,Q_Exclusive breastfeeding at time of Penta 3,202201,Bauya (Kongbora) CHC,"Outreach, <1y",default,3,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
136,Q_Slept under LLIN last night Measles,202201,Bauya (Kongbora) CHC,"Fixed, <1y",default,8,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
137,Q_Vitamin A received 4-6 months ago at 12-59 dose,202201,Bauya (Kongbora) CHC,"Fixed, >1y",default,5,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
138,Q_Vitamin A received 4-6 months ago at 12-59 dose,202201,Bauya (Kongbora) CHC,"Outreach, >1y",default,8,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
139,Vitamin A given to < 5y,202201,Bauya (Kongbora) CHC,"Fixed, <1y",default,9,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
140,Vitamin A given to < 5y,202201,Bauya (Kongbora) CHC,"Fixed, >1y",default,5,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
141,Vitamin A given to < 5y,202201,Bauya (Kongbora) CHC,"Outreach, >1y",default,8,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
142,Weight for age below lower line (red),202201,Bauya (Kongbora) CHC,"Fixed, <1y",default,5,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
143,Weight for age below lower line (red),202201,Bauya (Kongbora) CHC,"Fixed, >1y",default,3,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
144,Weight for age below lower line (red),202201,Bauya (Kongbora) CHC,"Outreach, <1y",default,4,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
145,Weight for age below lower line (red),202201,Bauya (Kongbora) CHC,"Outreach, >1y",default,3,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
146,Weight for age between middle and lower line (yellow),202201,Bauya (Kongbora) CHC,"Fixed, <1y",default,9,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
147,Weight for age between middle and lower line (yellow),202201,Bauya (Kongbora) CHC,"Fixed, >1y",default,7,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
148,Weight for age between middle and lower line (yellow),202201,Bauya (Kongbora) CHC,"Outreach, <1y",default,5,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
149,Weight for age between middle and lower line (yellow),202201,Bauya (Kongbora) CHC,"Outreach, >1y",default,10,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
150,Weight for age on or above middle line (green),202201,Bauya (Kongbora) CHC,"Fixed, <1y",default,29,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
151,Weight for age on or above middle line (green),202201,Bauya (Kongbora) CHC,"Fixed, >1y",default,11,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
152,Weight for age on or above middle line (green),202201,Bauya (Kongbora) CHC,"Outreach, <1y",default,10,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
153,Weight for age on or above middle line (green),202201,Bauya (Kongbora) CHC,"Outreach, >1y",default,4,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
154,Weight for height 70-79 percent,202201,Bauya (Kongbora) CHC,"Fixed, <1y",default,9,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
155,Weight for height 70-79 percent,202201,Bauya (Kongbora) CHC,"Fixed, >1y",default,8,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
156,Weight for height 70-79 percent,202201,Bauya (Kongbora) CHC,"Outreach, <1y",default,5,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
157,Weight for height 70-79 percent,202201,Bauya (Kongbora) CHC,"Outreach, >1y",default,10,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
158,Weight for height 80 percent and above,202201,Bauya (Kongbora) CHC,"Fixed, <1y",default,29,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
159,Weight for height 80 percent and above,202201,Bauya (Kongbora) CHC,"Fixed, >1y",default,12,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
160,Weight for height 80 percent and above,202201,Bauya (Kongbora) CHC,"Outreach, <1y",default,10,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
161,Weight for height 80 percent and above,202201,Bauya (Kongbora) CHC,"Outreach, >1y",default,4,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
